x,y,z,p
  0.0000,  0.2095,  1.5494,1.0000574e-01
  0.1941,  0.2095,  1.5364,1.0000017e-01
  0.1213,  0.3616,  1.5398,1.0002087e-01
 -0.0433,  0.3993,  1.5408,1.0002591e-01
 -0.1751,  0.2938,  1.5382,1.0001167e-01
 -0.1747,  0.1254,  1.5348,9.9988748e-02
 -0.0431,  0.0207,  1.5326,9.9974098e-02
  0.1208,  0.0580,  1.5334,9.9979448e-02
  0.3846,  0.2095,  1.4980,9.9985088e-02
  0.3412,  0.3886,  1.5007,1.0000965e-01
  0.2194,  0.5274,  1.5043,1.0002918e-01
  0.0466,  0.5935,  1.5066,1.0003772e-01
 -0.1371,  0.5710,  1.5058,1.0003491e-01
 -0.2888,  0.4653,  1.5025,1.0002059e-01
 -0.3737,  0.3016,  1.4992,9.9997400e-02
 -0.3732,  0.1175,  1.4970,9.9973513e-02
 -0.2873, -0.0450,  1.4947,9.9952601e-02
 -0.1358, -0.1487,  1.4920,9.9935216e-02
  0.0462, -0.1706,  1.4913,9.9930616e-02
  0.2178, -0.1060,  1.4933,9.9943092e-02
  0.3401,  0.0310,  1.4959,9.9962772e-02
  0.5684,  0.2095,  1.4356,9.9966328e-02
  0.5378,  0.3941,  1.4361,9.9987880e-02
  0.4496,  0.5594,  1.4388,1.0001260e-01
  0.3125,  0.6878,  1.4429,1.0003149e-01
  0.1406,  0.7646,  1.4463,1.0004109e-01
 -0.0473,  0.7805,  1.4471,1.0004284e-01
 -0.2298,  0.7334,  1.4448,1.0003740e-01
 -0.3864,  0.6292,  1.4408,1.0002317e-01
 -0.5005,  0.4803,  1.4372,1.0000044e-01
 -0.5607,  0.3031,  1.4356,9.9976215e-02
 -0.5608,  0.1159,  1.4359,9.9958285e-02
 -0.5000, -0.0611,  1.4359,9.9944325e-02
 -0.3844, -0.2081,  1.4335,9.9925643e-02
 -0.2274, -0.3089,  1.4296,9.9900249e-02
 -0.0467, -0.3536,  1.4271,9.9882313e-02
  0.1388, -0.3386,  1.4280,9.9888958e-02
  0.3100, -0.2650,  1.4316,9.9913296e-02
  0.4484, -0.1395,  1.4350,9.9936013e-02
  0.5378,  0.0249,  1.4361,9.9951350e-02
  0.7430,  0.2095,  1.3515,9.9954304e-02
  0.7182,  0.3939,  1.3488,9.9964059e-02
  0.6500,  0.5668,  1.3491,9.9985944e-02
