x,y,z,p
2.6345e+00,-2.1992e-01,3.8703e+00,9.9999917e-04
3.1143e+00,-2.1992e-01,3.7980e+00,9.9999968e-04
2.9360e+00,1.5819e-01,3.8282e+00,9.9999943e-04
2.5255e+00,2.5731e-01,3.8748e+00,9.9999911e-04
2.1923e+00,-7.0058e-03,3.8845e+00,9.9999888e-04
2.1923e+00,-4.3286e-01,3.8849e+00,9.9999892e-04
2.5257e+00,-6.9634e-01,3.8682e+00,9.9999916e-04
2.9353e+00,-5.9716e-01,3.8195e+00,9.9999950e-04
3.5781e+00,-2.1992e-01,3.6753e+00,9.9999995e-04
3.4750e+00,2.2120e-01,3.6970e+00,9.9999988e-04
3.1819e+00,5.7323e-01,3.7536e+00,9.9999962e-04
2.7530e+00,7.5596e-01,3.8287e+00,9.9999946e-04
2.2815e+00,7.1074e-01,3.8766e+00,9.9999937e-04
1.8913e+00,4.3847e-01,3.8670e+00,9.9999929e-04
1.6783e+00,1.5752e-02,3.8355e+00,9.9999905e-04
1.6761e+00,-4.5613e-01,3.8441e+00,9.9999915e-04
1.8895e+00,-8.7987e-01,3.8761e+00,9.9999932e-04
2.2825e+00,-1.1481e+00,3.8661e+00,9.9999940e-04
2.7522e+00,-1.1893e+00,3.8033e+00,9.9999950e-04
3.1786e+00,-1.0082e+00,3.7304e+00,9.9999972e-04
3.4724e+00,-6.5969e-01,3.6856e+00,9.9999992e-04
4.0253e+00,-2.1992e-01,3.5128e+00,9.9965745e-04
3.9540e+00,2.3309e-01,3.5238e+00,9.9948902e-04
3.7466e+00,6.4571e-01,3.5596e+00,9.9999994e-04
3.4211e+00,9.8414e-01,3.6326e+00,9.9999985e-04
2.9974e+00,1.2132e+00,3.7339e+00,9.9999982e-04
2.5093e+00,1.2910e+00,3.8292e+00,9.9999975e-04
2.0178e+00,1.1859e+00,3.8774e+00,9.9999968e-04
1.6007e+00,9.0310e-01,3.8553e+00,9.9999972e-04
1.3181e+00,4.9245e-01,3.7804e+00,9.9999980e-04
1.1807e+00,2.2666e-02,3.7225e+00,9.9999985e-04
1.1723e+00,-4.6392e-01,3.7442e+00,9.9999983e-04
1.3038e+00,-9.4002e-01,3.8213e+00,9.9999976e-04
1.5953e+00,-1.3488e+00,3.8754e+00,9.9999968e-04
2.0204e+00,-1.6199e+00,3.8611e+00,9.9999971e-04
2.5107e+00,-1.7133e+00,3.7847e+00,9.9999979e-04
2.9922e+00,-1.6328e+00,3.6810e+00,9.9999984e-04
3.4121e+00,-1.4102e+00,3.5911e+00,9.9999989e-04
3.7398e+00,-1.0802e+00,3.5376e+00,9.9925698e-04
3.9511e+00,-6.7194e-01,3.5161e+00,9.9960938e-04
4.4600e+00,-2.1992e-01,3.3206e+00,9.9987663e-04
4.4025e+00,2.3403e-01,3.3203e+00,9.9983880e-04
4.2394e+00,6.6238e-01,3.3314e+00,9.9968690e-04
3.9864e+00,1.0496e+00,3.3735e+00,9.9939404e-04
3.6537e+00,1.3862e+00,3.4601e+00,9.9939181e-04
3.2434e+00,1.6542e+00,3.5845e+00,9.9932572e-04
2.7628e+00,1.8201e+00,3.7181e+00,9.9909393e-04
2.2404e+00,1.8459e+00,3.8254e+00,9.9999990e-04
1.7261e+00,1.7106e+00,3.8809e+00,9.9999986e-04
1.2797e+00,1.4177e+00,3.8660e+00,9.9999989e-04
9.5504e-01,1.0003e+00,3.7760e+00,9.9903627e-04
7.7096e-01,5.1789e-01,3.6457e+00,9.9939786e-04
6.8854e-01,2.5906e-02,3.5678e+00,9.9954718e-04
6.6628e-01,-4.6856e-01,3.6086e+00,9.9947862e-04
7.2648e-01,-9.7535e-01,3.7327e+00,9.9916452e-04
9.2505e-01,-1.4619e+00,3.8434e+00,9.9999991e-04
1.2733e+00,-1.8653e+00,3.8844e+00,9.9999987e-04
1.7330e+00,-2.1355e+00,3.8510e+00,9.9999988e-04
2.2473e+00,-2.2495e+00,3.7584e+00,9.9999993e-04
2.7598e+00,-2.2118e+00,3.6304e+00,9.9926334e-04
3.2289e+00,-2.0493e+00,3.4989e+00,9.9939196e-04
3.6353e+00,-1.7970e+00,3.3976e+00,9.9936441e-04
3.9734e+00,-1.4773e+00,3.3411e+00,9.9958667e-04
4.2348e+00,-1.0997e+00,3.3218e+00,9.9980745e-04
4.4025e+00,-6.7387e-01,3.3203e+00,9.9987013e-04
4.8908e+00,-2.1992e-01,3.1055e+00,9.9994361e-04
4.8336e+00,2.4753e-01,3.0945e+00,9.9993316e-04
4.6805e+00,6.9105e-01,3.0827e+00,9.9989762e-04
4.4517e+00,1.1004e+00,3.0917e+00,9.9981229e-04
4.1636e+00,1.4783e+00,3.1453e+00,9.9982367e-04
3.8172e+00,1.8287e+00,3.2559e+00,9.9982177e-04
3.4002e+00,2.1369e+00,3.4108e+00,9.9974658e-04
2.9060e+00,2.3638e+00,3.5758e+00,9.9964022e-04
2.3521e+00,2.4668e+00,3.7184e+00,9.9946043e-04
1.7765e+00,2.4207e+00,3.8216e+00,9.9926596e-04
1.2258e+00,2.2200e+00,3.8778e+00,9.9927542e-04
7.5089e-01,1.8720e+00,3.8745e+00,9.9931950e-04
4.0538e-01,1.3996e+00,3.7923e+00,9.9927225e-04
2.2474e-01,8.5296e-01,3.6306e+00,9.9954829e-04
1.6797e-01,3.0435e-01,3.4707e+00,1.0000035e-03
1.2642e-01,-2.1992e-01,3.4520e+00,1.0000221e-03
8.1077e-02,-7.6266e-01,3.5930e+00,9.9967343e-04
1.3569e-01,-1.3324e+00,3.7647e+00,9.9928029e-04
3.6286e-01,-1.8703e+00,3.8647e+00,9.9931264e-04
7.4697e-01,-2.3162e+00,3.8825e+00,9.9929220e-04
1.2405e+00,-2.6343e+00,3.8372e+00,9.9924928e-04
1.7941e+00,-2.8062e+00,3.7430e+00,9.9941448e-04
2.3605e+00,-2.8267e+00,3.6076e+00,9.9961103e-04
2.8961e+00,-2.7091e+00,3.4450e+00,9.9972801e-04
3.3720e+00,-2.4897e+00,3.2849e+00,9.9980963e-04
3.7836e+00,-2.2103e+00,3.1633e+00,9.9983254e-04
4.1407e+00,-1.8928e+00,3.0983e+00,9.9980037e-04
4.4460e+00,-1.5361e+00,3.0820e+00,9.9988393e-04
4.6864e+00,-1.1335e+00,3.0916e+00,9.9992885e-04
4.8404e+00,-6.8881e-01,3.1041e+00,9.9994256e-04
5.3244e+00,-2.1992e-01,2.8645e+00,9.9997041e-04
5.2634e+00,2.5717e-01,2.8453e+00,9.9996608e-04
5.1095e+00,7.0896e-01,2.8151e+00,9.9995487e-04
4.8856e+00,1.1251e+00,2.7925e+00,9.9993148e-04
4.6170e+00,1.5122e+00,2.8034e+00,9.9993948e-04
4.3169e+00,1.8897e+00,2.8734e+00,9.9995290e-04
3.9747e+00,2.2706e+00,3.0118e+00,9.9991760e-04
3.5616e+00,2.6335e+00,3.1950e+00,9.9988802e-04
3.0604e+00,2.9247e+00,3.3792e+00,9.9987167e-04
2.4856e+00,3.0951e+00,3.5337e+00,9.9982766e-04
1.8709e+00,3.1256e+00,3.6542e+00,9.9973705e-04
1.2503e+00,3.0185e+00,3.7504e+00,9.9972338e-04
6.5449e-01,2.7796e+00,3.8273e+00,9.9977732e-04
1.2036e-01,2.4096e+00,3.8741e+00,9.9974091e-04
-3.0361e-01,1.9147e+00,3.8673e+00,9.9951729e-04
-5.7171e-01,1.3241e+00,3.7895e+00,9.9999982e-04
-6.7727e-01,6.9406e-01,3.6585e+00,9.9999896e-04
-7.0982e-01,8.1070e-02,3.5757e+00,9.9999799e-04
-7.7837e-01,-5.2708e-01,3.6490e+00,9.9999886e-04
-7.8841e-01,-1.1646e+00,3.7813e+00,9.9999979e-04
-6.3489e-01,-1.7944e+00,3.8642e+00,9.9948841e-04
-3.0997e-01,-2.3592e+00,3.8757e+00,9.9973283e-04
1.4772e-01,-2.8209e+00,3.8319e+00,9.9977868e-04
6.9108e-01,-3.1640e+00,3.7566e+00,9.9972756e-04
1.2830e+00,-3.3819e+00,3.6618e+00,9.9973128e-04
1.8940e+00,-3.4640e+00,3.5434e+00,9.9982234e-04
2.4916e+00,-3.4016e+00,3.3915e+00,9.9986999e-04
3.0389e+00,-3.2059e+00,3.2088e+00,9.9988679e-04
3.5120e+00,-2.9206e+00,3.0239e+00,9.9991470e-04
3.9166e+00,-2.6025e+00,2.8812e+00,9.9995149e-04
4.2775e+00,-2.2802e+00,2.8062e+00,9.9994220e-04
4.6088e+00,-1.9449e+00,2.7919e+00,9.9992982e-04
4.9021e+00,-1.5748e+00,2.8130e+00,9.9995364e-04
5.1343e+00,-1.1581e+00,2.8433e+00,9.9996556e-04
5.2805e+00,-7.0011e-01,2.8638e+00,9.9997026e-04
5.7588e+00,-2.1992e-01,2.5846e+00,9.9998515e-04
5.6897e+00,2.7660e-01,2.5606e+00,9.9998237e-04
5.5233e+00,7.4450e-01,2.5195e+00,9.9997624e-04
5.2839e+00,1.1706e+00,2.4754e+00,9.9996605e-04
5.0038e+00,1.5605e+00,2.4518e+00,9.9997036e-04
4.7112e+00,1.9422e+00,2.4801e+00,9.9998422e-04
4.4121e+00,2.3554e+00,2.5887e+00,9.9996203e-04
4.0721e+00,2.8098e+00,2.7743e+00,9.9993437e-04
3.6385e+00,3.2464e+00,2.9855e+00,9.9994367e-04
3.0960e+00,3.5809e+00,3.1674e+00,9.9995865e-04
2.4738e+00,3.7677e+00,3.3016e+00,9.9995662e-04
